# BEGIN PLOT
Legend=1
LogY=1
Title=Pseudorapidity separation between jets
LegendXPos=0.1
XLabel=$\Delta\phi(\mathrm{jet~1,~jet~3})$
YLabel=$\mathrm{d}\sigma/\mathrm{d}\Delta\phi(\mathrm{jet~1,~jet~3})$ [pb]
RemoveOptions=1
DrawOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dphi_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dphi_13
LegendOnly=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dphi_13 //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dphi_13
RatioPlot=1
RatioPlotReference=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dphi_13
RatioPlotYLabel=Ratio
# END PLOT

# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dphi_13
ErrorBars=1
LineColor=red
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/masterVBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dphi_13
ScaledBy=1.00503000000000010e-06
Title=VBSZZ@NLO(v2918)
# xlow	 xhigh	 val	 errminus	 errplus
2.387610e+00	2.513274e+00	3.199102e-05	1.599551e-05	1.599551e-05
2.513274e+00	2.638938e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.638938e+00	2.764602e+00	7.997756e-06	7.997755e-06	7.997755e-06
2.764602e+00	2.890265e+00	3.199128e-05	1.599564e-05	1.599564e-05
2.890265e+00	3.015929e+00	7.997756e-06	7.997755e-06	7.997755e-06
3.015929e+00	3.141593e+00	2.399327e-05	1.385252e-05	1.385252e-05
# END HISTO1D


# BEGIN HISTO1D //eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dphi_13
ErrorBars=1
LineColor=blue
LineStyle=solid
Path=//eos/home-y/youpeng/valid/genValidation/mg352VBS_merged.yoda.gz/MC_ZZJETS:ENERGY=13000/jets_dphi_13
ScaledBy=9.96719999999999835e-07
Title=VBSZZ@NLO(v352)
# xlow	 xhigh	 val	 errminus	 errplus
0.000000e+00	1.256637e-01	7.931646e-06	7.931646e-06	7.931646e-06
1.256637e-01	2.513274e-01	0.000000e+00	0.000000e+00	0.000000e+00
2.513274e-01	3.769911e-01	1.586329e-05	1.121704e-05	1.121704e-05
3.769911e-01	5.026548e-01	2.379494e-05	1.373801e-05	1.373801e-05
5.026548e-01	6.283185e-01	3.172658e-05	1.586329e-05	1.586329e-05
6.283185e-01	7.539822e-01	3.172658e-05	1.586329e-05	1.586329e-05
7.539822e-01	8.796459e-01	0.000000e+00	0.000000e+00	0.000000e+00
8.796459e-01	1.005310e+00	7.931621e-06	7.931621e-06	7.931621e-06
1.005310e+00	1.130973e+00	7.931690e-06	7.931690e-06	7.931690e-06
1.130973e+00	1.256637e+00	2.379488e-05	1.373798e-05	1.373798e-05
1.256637e+00	1.382301e+00	1.586325e-05	1.121702e-05	1.121702e-05
1.382301e+00	1.507964e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.507964e+00	1.633628e+00	7.931627e-06	7.931627e-06	7.931627e-06
1.633628e+00	1.759292e+00	2.379488e-05	1.373798e-05	1.373798e-05
1.759292e+00	1.884956e+00	1.586325e-05	1.121702e-05	1.121702e-05
1.884956e+00	2.010619e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.010619e+00	2.136283e+00	1.586325e-05	1.121702e-05	1.121702e-05
2.136283e+00	2.261947e+00	0.000000e+00	0.000000e+00	0.000000e+00
2.261947e+00	2.387610e+00	2.379507e-05	1.373809e-05	1.373809e-05
2.387610e+00	2.513274e+00	7.931627e-06	7.931627e-06	7.931627e-06
2.513274e+00	2.638938e+00	1.586325e-05	1.121702e-05	1.121702e-05
2.638938e+00	2.764602e+00	2.379488e-05	1.373798e-05	1.373798e-05
2.764602e+00	2.890265e+00	2.379507e-05	1.373809e-05	1.373809e-05
2.890265e+00	3.015929e+00	7.931627e-06	7.931627e-06	7.931627e-06
3.015929e+00	3.141593e+00	2.379488e-05	1.373798e-05	1.373798e-05
# END HISTO1D

